,Title,Description,Source,Date,Sentiment
0,Trumps shadow looms over IndiaEU trade deal,Despite strong relations between India and EU trade talks were stuck for two decades So what changed now,BBC News,2026-01-27T16:30:36Z,Neutral
1,Realme promises days of battery from its 10001mAh phone,After teasing 10000mAh and 15000mAh concept devices Realme is ready to make those big batteries reality with the P4 Power which launches in India on January 29th with a 10001mAh capacity Realme says the P4 Power will last for three and a half days of li,The Verge,2026-01-20T08:57:34Z,Neutral
2,Instagram and X have an impossible deepfake detection deadline,The best methods we currently have for detecting and labelling deepfakes online are about to get a stress test India announced mandates on Tuesday that require social media platforms to remove illegal AIgenerated materials much faster and ensure that all s,The Verge,2026-02-11T17:20:45Z,Negative
3,An iconic Indian restaurant might have to shut after 99 years Can the King save it,Supporters of Veeraswamy which has operated for almost 100 years are petitioning the King to intervene,BBC News,2026-02-01T00:56:14Z,Positive
4,This is Nothings flagship store in India,Nothing just inaugurated its store in Bengaluru India and I went down to the city to see what its all about and talk to Carl Pei and Akis Evangelidis about the brands retail strategy,Android Central,2026-02-14T06:30:00Z,Neutral
